Name,Team,Year,Gold,Silver,Bronze
Abdulselam Imuk,Turkey,2020,0,0,0
Abdumalik Khalokov,Uzbekistan,2024,1,0,0
Abdurahman Jallow,Gambia,1984,0,0,0
Abdurauf Buriev,Uzbekistan,2024,0,0,0
Abdurrahim Kuzu,United States,1984,0,0,0
Abdusalam Gadisov,Russia,2012,0,0,0
Abdusalam Gezah,Libya,2012,0,0,0
Abduvohid Nematov,Uzbekistan,2024,0,0,0
Abe Wiersma,Netherlands,2020,1,0,0
Abeba Gebretsadik,Ethiopia,2012,0,0,0
Abebe Mekonnen,Ethiopia,1992,0,0,0
Abebe Mekonnen,Ethiopia,1996,0,0,0
Abebech Negussie,Ethiopia,2000,0,0,0
Abednego Matilu,Kenya,1992,0,0,0
Abeer Essawy,Egypt,2004,0,0,0
Abeer Ramadan,Egypt,2024,0,0,0
Abeiku Jackson,Ghana,2016,0,0,0
Abeku Jackson,Ghana,2020,0,0,0
Abel Aferalign,Ethiopia,2004,0,0,0
Abel Bios,Cuba,1992,0,0,0
Abel Chimukoko,Zimbabwe,2004,0,0,0
Abel Kipsang,Kenya,2020,0,0,0
Abel Kirui,Kenya,2012,0,1,0
Abel Metellus,Haiti,2024,0,0,0
Abel Mokibe,South Africa,1992,0,0,0
Abel Mutai,Kenya,2012,0,0,1
Abel Ndenguet,Congo (Brazzaville),1996,0,0,0
Abel Nzimande,South Africa,1992,0,0,0
Abel Platero,Uruguay,2012,0,0,0
Abel Rodrigo,Spain,1988,0,0,0
Abel Rodrigo,Spain,1992,0,0,0
Abel Rodrigo,Spain,1996,0,0,0
Abel Rodrigo,Spain,2000,0,0,0
Abel Ruiz,Spain,2024,1,0,0
Abel Santos,Cuba,2004,0,0,0
Abel Serdio,Spain,2024,0,0,1
Abel Vargas,Peru,2000,0,0,0
Abelardo Antua,Spain,1992,1,0,0
Abelardo Sztrum,Argentina,1996,0,0,0
Abelardo Sztrum,Argentina,2000,0,0,0
Abeykoon Mudiyanselage,Sri Lanka,2020,0,0,0
Abha Dhillan,India,1992,0,0,0
Abhinav Bindra,India,2000,0,0,0
Abhinav Bindra,India,2004,0,0,0
Abhinav Bindra,India,2008,1,0,0
Abhinav Bindra,India,2012,0,0,0
Abhinav Bindra,India,2016,0,0,0
Abhinn Gupta,India,2004,0,0,0
Abhishek Abhishek,India,2024,0,0,1
Abhishek Verma,India,2020,0,0,0
Abi Burton,Great Britain,2020,0,0,0
Abi Burton,Great Britain,2024,0,0,0
Abiba Abuzhakynova,Kazakhstan,2024,0,0,0
